user_loc,user_est,pop_est,metro_micro_area,CBSA_code,CBSA_title,inter_county_connections,outer_county_connections,total connections,coverage est,normed pop_est,rescaled inter_county_connections,rescaled outer_county_connections,rescaled total connections
48385,1495,2625,,,,176881.31267741998,1191903.779320215,1368785.091997635,0.5695238095238095,0.024560419904905463,0.008671398017886285,0.026414381111876346,0.020890613510598028
48387,6095,11333,,,,1984758.94745909,5937673.834271895,7922432.781730985,0.5378099355863408,0.10603551953611186,0.10303813763900375,0.13934732750942583,0.12804350528446778
48389,7426,14984,Micropolitan Statistical Area,37780,"Pecos, TX",1429147.87493445,5761006.39359629,7190154.2685307395,0.4955953016550988,0.14019555499242037,0.08051356196850631,0.14671763046442818,0.12610689738232017
48391,3515,6591,,,,1252507.87250771,2919462.872106895,4171970.744614605,0.5333029889242907,0.06166770574980263,0.06557306739881201,0.06909395718374181,0.06799782938952358
48393,412,807,,,,62316.580853064,629534.214731076,691850.79558414,0.5105328376703842,0.0075505748050509365,0.003407995311178015,0.015563482621394363,0.011779221168501133
48395,8597,16761,Metropolitan Statistical Area,17780,"College Station-Bryan, TX",3005412.461976316,9463983.39120953,12469395.853185846,0.5129168904003341,0.15682178972423638,0.16359730134474007,0.23288316593869063,0.2113130042559995
48397,56416,116285,Metropolitan Statistical Area,19100,"Dallas-Fort Worth-Arlington, TX",8436383.51308752,56902859.02838768,65339242.5414752,0.4851528572042826,1.088003210911212,0.48550842886114953,1.4803575464262626,1.1706398797488997
48399,5111,9773,,,,1260571.9519995002,3823703.506932303,5084275.458931803,0.5229714519594802,0.09143961284976804,0.06729901544516306,0.09228207577271748,0.08450431830729609
48401,27272,51874,Metropolitan Statistical Area,30980,"Longview, TX",10545528.272858936,24656477.098873705,35202005.37173264,0.5257354358638239,0.4853513227226918,0.5600414134583914,0.5919362027242562,0.5820066771950312
48403,5089,9680,,,,1266071.31970704,4668101.475157148,5934172.794864188,0.5257231404958678,0.09056947225885138,0.06723882730838805,0.11207127745447375,0.0981139832220988
48405,4139,7685,,,,1481586.262331448,4847202.6304929685,6328788.892824417,0.5385816525699414,0.07190355313112323,0.07680587498351048,0.11359278522630567,0.10214023849986967
48407,14763,27799,,,,2745060.5030735037,12955442.326963522,15700502.830037026,0.5310622684269218,0.26009718588055886,0.1443196702831789,0.30790584045587516,0.2569779901597649
48409,34952,69811,Metropolitan Statistical Area,18580,"Corpus Christi, TX",8029582.36843868,26344276.379049152,34373858.74748783,0.5006660841414676,0.6531761805643258,0.44777911950942734,0.6641240825877256,0.5967712991565988
48411,3143,5655,,,,943799.8515673421,2544175.617534215,3487975.469101557,0.5557913351016799,0.05291016173799634,0.047411881047090376,0.057775863114106145,0.0545493353054085
48413,1097,2311,,,,214884.50949464802,838972.825620393,1053857.3351150411,0.4746862829943747,0.02162252586675677,0.012639138720312654,0.02230757387230488,0.019297584595714467
48415,8392,16927,Micropolitan Statistical Area,43660,"Snyder, TX",3336879.3938192884,6341241.104406472,9678120.49822576,0.4957759792048207,0.1583749438972704,0.18792046665916434,0.16143582327423142,0.16968105544776912
48417,1582,3049,,,,540063.730970694,1679958.13146847,2220021.862439164,0.5188586421777632,0.028527512491450194,0.029061298195854166,0.04086584948736644,0.03719084187301719
48419,11950,23669,,,,5520086.183203201,10607796.23353685,16127882.416740052,0.5048798005830412,0.2214554585635076,0.30526493144405875,0.2651846006176175,0.27766245914314386
48421,1366,2734,,,,210015.52524498,1156060.102588256,1366075.627833236,0.4996342355523043,0.025580262102861538,0.011735950386820645,0.029203799080069724,0.023765686663196388
48423,121880,238456,Metropolitan Statistical Area,46340,"Tyler, TX",53242154.72259684,106003994.25805111,159246148.98064795,0.5111215486295165,2.2310779005120525,2.9083755524625006,2.6176354683914504,2.708149033572527
48425,5002,9382,Metropolitan Statistical Area,19100,"Dallas-Fort Worth-Arlington, TX",757301.91919782,4244364.347717322,5001666.266915143,0.5331485823918141,0.08778127982774211,0.03965882581407151,0.10047905149894681,0.08154442306804076
48427,28318,67215,Micropolitan Statistical Area,40100,"Rio Grande City, TX",14042437.241452055,14250527.442416415,28292964.683868468,0.4213047682808897,0.6288870948221793,0.9306045472612954,0.4269192050386347,0.5837271532776613
48429,4827,8969,,,,1788925.0413822841,3841761.170827725,5630686.212210009,0.5381870888616345,0.08391710709603699,0.0928063989742302,0.09009656130179475,0.09094019134193117
48431,730,1403,,,,189070.54806429,892873.62489231,1081944.1729566,0.5203136136849608,0.013126959667269473,0.010145600264902433,0.0216588768968661,0.018074549272401572
48433,637,1195,,,,161955.51524770798,616880.91003721,778836.4252849179,0.5330543933054394,0.011180838775756964,0.008482878921102674,0.014606324048594866,0.012699965482830124
48435,1619,3211,,,,398814.49270421197,1396972.277144833,1795786.769849045,0.5042042977265649,0.030043241262724358,0.02208429002491343,0.03496973748937713,0.03095822393186902
48437,3435,6813,,,,1169323.76376558,3509315.731284015,4678639.495049595,0.5041831792162044,0.06374481554747463,0.06475383234654682,0.08785069840920244,0.08066015329217663
48439,1061135,2175474,Metropolitan Statistical Area,19100,"Dallas-Fort Worth-Arlington, TX",299982750.2603282,736453956.8826853,1036436707.1430135,0.4877718602934349,20.354497117030213,17.171118822003006,19.056361618906116,18.46944548271231
48441,74805,145723,Metropolitan Statistical Area,10180,"Abilene, TX",24702147.30828594,56460167.037268214,81162314.34555416,0.5133369474962772,1.363435455162872,1.3435419669614113,1.3881959166086881,1.3742941933739812
48443,359,719,,,,39652.965660496004,330694.715733052,370347.68139354803,0.4993045897079277,0.0067272159663341055,0.002217324056810068,0.008359356073745048,0.006447211014403171
48445,5665,11727,,,,1877912.03238672,4656029.963001725,6533941.995388445,0.4830732497654984,0.10972192160945766,0.108537873552994,0.1216505019183986,0.11756826211978443
48447,740,1391,,,,145087.61909472002,984968.61269348,1130056.2317882,0.5319913731128685,0.013014683461989904,0.007614560074668571,0.023368397386013474,0.01846389312789398
48449,14481,30962,Micropolitan Statistical Area,34420,"Mount Pleasant, TX",4983880.3923384,11864045.411678223,16847925.804016624,0.4677023448097668,0.28969132232216493,0.29752065202411015,0.32016538860534793,0.31311560100174646
48451,62797,122273,Metropolitan Statistical Area,41660,"San Angelo, TX",23664176.306194287,43317779.85903847,66981956.16523276,0.5135802671072109,1.1440290373457165,1.2864772680089318,1.0645571685524928,1.1336456103864458
48453,694262,1361013,Metropolitan Statistical Area,12420,"Austin-Round Rock, TX",198781702.118871,609508555.1750079,808290257.2938789,0.5101068101480295,12.734114581346704,10.880136315855138,15.080988610170461,13.773174040423475
48455,6953,13333,Micropolitan Statistical Area,26660,"Huntsville, TX",1074588.0033360561,5526918.643180197,6601506.646516253,0.5214880372009301,0.12474822041603982,0.05753295631557734,0.13376726549450219,0.1100339053871471
48457,10204,19401,,,,2992154.69308116,8764554.7368277,11756709.42990886,0.5259522705015205,0.1815225548857413,0.15883886002551864,0.210326817793855,0.19429752263699623
48459,21487,41195,Metropolitan Statistical Area,30980,"Longview, TX",5455835.944057476,19332082.41396567,24787918.358023144,0.5215924262653234,0.3854348563743164,0.29204453196196084,0.4677981381428135,0.4130823065102815
48461,1638,3283,,,,241112.341244502,1478793.438553158,1719905.77979766,0.4989339019189765,0.030716898494401765,0.013492594815092367,0.037408959424434396,0.029963286998911376
48463,11415,24111,Micropolitan Statistical Area,46620,"Uvalde, TX",4040740.0300335903,7725948.267918945,11766688.297952536,0.4734353614532786,0.22559096545797166,0.23829738163696504,0.20596917561957645,0.21603363299184264
48465,22418,47143,Micropolitan Statistical Area,19620,"Del Rio, TX",7704420.317665367,11709710.569958853,19414130.88762422,0.475531892327599,0.4410864287912222,0.4523549761085578,0.31079758783250144,0.3548674103047842
48467,31964,61168,,,,10145274.67157982,27289820.57737551,37435095.248955324,0.5225608161130003,0.5723092437117171,0.5420583282964344,0.6591359007041033,0.6226871650052651
48469,46376,92231,Metropolitan Statistical Area,47020,"Victoria, TX",19519327.663759,32116759.66990753,51636087.33366653,0.502824429963895,0.8629455574283184,1.0838458965615059,0.806169715901312,0.8926162103973264
